정부,대통령,명칭,이름,임기시작,임기종료,링크
제1공화국,이승만,국방부 장관,이기붕,1951년 5월 7일,1952년 3월 29일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B8%B0%EB%B6%95
제1공화국,이승만,국방부 장관,신태영,1952년 3월 29일,1953년 6월 30일,https://ko.wikipedia.org/wiki/%EC%8B%A0%ED%83%9C%EC%98%81_
제1공화국,이승만,국방부 장관,손원일,1953년 6월 30일,1956년 5월 26일,https://ko.wikipedia.org/wiki/%EC%86%90%EC%9B%90%EC%9D%BC
제1공화국,이승만,국방부 장관,김용우,1956년 5월 26일,1957년 7월 6일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9A%A9%EC%9A%B0_
제1공화국,이승만,국방부 장관,김정렬,1957년 7월 6일,1960년 5월 2일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%A0%95%EB%A0%AC_
제1공화국,이승만,국방부 장관,이종찬,1960년 5월 2일,1960년 8월 23일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A2%85%EC%B0%AC_
제1공화국,이승만,문교부 장관,안호상,1948년 8월 3일,1950년 5월 3일,https://ko.wikipedia.org/wiki/%EC%95%88%ED%98%B8%EC%83%81
제1공화국,이승만,문교부 장관,백낙준,1950년 5월 4일,1952년 10월 29일,https://ko.wikipedia.org/wiki/%EB%B0%B1%EB%82%99%EC%A4%80
제1공화국,이승만,문교부 장관,김법린,1952년 10월 30일,1954년 4월 20일,https://ko.wikipedia.org/wiki/%EA%B9%80%EB%B2%95%EB%A6%B0
제1공화국,이승만,문교부 장관,이선근,1954년 4월 21일,1956년 6월 7일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%84%A0%EA%B7%BC
제1공화국,이승만,문교부 장관,최규남,1956년 6월 8일,1957년 11월 26일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EA%B7%9C%EB%82%A8
제1공화국,이승만,문교부 장관,최재유,1957년 11월 27일,1960년 4월 27일,https://ko.wikipedia.org/w/index.php?title=%EC%B5%9C%EC%9E%AC%EC%9C%A0&action=edit&redlink=1
제1공화국,이승만,문교부 장관,이병도,1960년 4월 28일,1960년 8월 22일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%B3%91%EB%8F%84
제1공화국,이승만,부흥부 장관,유완창,1955년 2월 16일,1956년 5월 26일,https://ko.wikipedia.org/w/index.php?title=%EC%9C%A0%EC%99%84%EC%B0%BD&action=edit&redlink=1
제1공화국,이승만,부흥부 장관,김현철,1956년 5월 26일,1957년 6월 9일,https://ko.wikipedia.org/wiki/%EA%B9%80%ED%98%84%EC%B2%A0_
제1공화국,이승만,부흥부 장관,송인상,1957년 6월 9일,1959년 3월 20일,https://ko.wikipedia.org/w/index.php?title=%EC%86%A1%EC%9D%B8%EC%83%81&action=edit&redlink=1
제1공화국,이승만,부흥부 장관,신현확,1959년 3월 20일,1960년 4월 28일,https://ko.wikipedia.org/wiki/%EC%8B%A0%ED%98%84%ED%99%95
제1공화국,이승만,부흥부 장관,전예용,1960년 4월 28일,1960년 8월 19일,https://ko.wikipedia.org/wiki/%EC%A0%84%EC%98%88%EC%9A%A9
제1공화국,이승만,농림부 장관,조봉암,1948년 8월 15일,1949년 2월 22일,https://ko.wikipedia.org/wiki/%EC%A1%B0%EB%B4%89%EC%95%94
제1공화국,이승만,농림부 장관,이종현,1949년 2월 23일,1950년 1월 20일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A2%85%ED%98%84_
제1공화국,이승만,농림부 장관,윤영선,1950년 1월 21일,1950년 11월 22일,https://ko.wikipedia.org/wiki/%EC%9C%A4%EC%98%81%EC%84%A0_
제1공화국,이승만,농림부 장관,공진항,1950년 11월 23일,1951년 5월 6일,https://ko.wikipedia.org/wiki/%EA%B3%B5%EC%A7%84%ED%95%AD
제1공화국,이승만,농림부 장관,임문환,1951년 5월 7일,1952년 3월 5일,https://ko.wikipedia.org/wiki/%EC%9E%84%EB%AC%B8%ED%99%98
제1공화국,이승만,농림부 장관,함인섭,1952년 3월 6일,1952년 8월 28일,https://ko.wikipedia.org/wiki/%ED%95%A8%EC%9D%B8%EC%84%AD
제1공화국,이승만,농림부 장관,신중목,1952년 8월 29일,1953년 9월 9일,https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%A4%91%EB%AA%A9
제1공화국,이승만,농림부 장관,정재설,1953년 9월 10일,1953년 10월 6일,https://ko.wikipedia.org/w/index.php?title=%EC%A0%95%EC%9E%AC%EC%84%A4&action=edit&redlink=1
제1공화국,이승만,농림부 장관,양성봉,1953년 10월 7일,1954년 5월 5일,https://ko.wikipedia.org/w/index.php?title=%EC%96%91%EC%84%B1%EB%B4%89&action=edit&redlink=1
제1공화국,이승만,농림부 장관,윤건중,1954년 5월 6일,1954년 6월 29일,https://ko.wikipedia.org/w/index.php?title=%EC%9C%A4%EA%B1%B4%EC%A4%91&action=edit&redlink=1
제1공화국,이승만,농림부 장관,최규옥,1954년 6월 30일,1955년 2월 15일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EA%B7%9C%EC%98%A5
제1공화국,이승만,농림부 장관,임철호,1955년 2월 16일,1955년 8월 29일,https://ko.wikipedia.org/wiki/%EC%9E%84%EC%B2%A0%ED%98%B8_
제1공화국,이승만,농림부 장관,정낙훈,1955년 8월 30일,1955년 11월 16일,https://ko.wikipedia.org/wiki/%EC%A0%95%EB%82%99%ED%9B%88
제1공화국,이승만,농림부 장관,정운갑,1955년 11월 17일,1957년 6월 16일,https://ko.wikipedia.org/wiki/%EC%A0%95%EC%9A%B4%EA%B0%91
제1공화국,이승만,농림부 장관,정재설,1957년 6월 17일,1959년 3월 20일,https://ko.wikipedia.org/w/index.php?title=%EC%A0%95%EC%9E%AC%EC%84%A4&action=edit&redlink=1
제1공화국,이승만,농림부 장관,이근직,1959년 3월 21일,1960년 5월 1일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B7%BC%EC%A7%81_
제1공화국,이승만,농림부 장관,이해익,1960년 5월 2일,1960년 8월 22일,https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%95%B4%EC%9D%B5_
제1공화국,이승만,상공부 장관,임영신,1948년 8월 4일,1949년 6월 6일,https://ko.wikipedia.org/wiki/%EC%9E%84%EC%98%81%EC%8B%A0
제1공화국,이승만,상공부 장관,윤보선,1949년 6월 6일,1950년 5월 9일,https://ko.wikipedia.org/wiki/%EC%9C%A4%EB%B3%B4%EC%84%A0
제1공화국,이승만,상공부 장관,김훈,1950년 5월 9일,1952년 3월 27일,https://ko.wikipedia.org/w/index.php?title=%EA%B9%80%ED%9B%88_&action=edit&redlink=1
제1공화국,이승만,상공부 장관,이교선,1952년 3월 27일,1952년 11월 6일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B5%90%EC%84%A0_
제1공화국,이승만,상공부 장관,이재형,1952년 11월 6일,1953년 10월 7일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9E%AC%ED%98%95_
제1공화국,이승만,상공부 장관,안동혁,1953년 10월 7일,1953년 10월 7일,https://ko.wikipedia.org/wiki/%EC%95%88%EB%8F%99%ED%98%81_
제1공화국,이승만,상공부 장관,박희현,1954년 6월 30일,1954년 7월 5일,https://ko.wikipedia.org/wiki/%EB%B0%95%ED%9D%AC%ED%98%84
제1공화국,이승만,상공부 장관,강성태,1954년 7월 5일,1955년 9월 19일,https://ko.wikipedia.org/wiki/%EA%B0%95%EC%84%B1%ED%83%9C_
제1공화국,이승만,상공부 장관,김일환,1955년 9월 16일,1958년 8월 27일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9D%BC%ED%99%98_
제1공화국,이승만,상공부 장관,구용서,1958년 8월 27일,1960년 4월 8일,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%9A%A9%EC%84%9C
